sample,TOT_DEP,CITY,COUNTY,STATE,OPEN_DT,ZIP5,DEP_YR3,unique_id,INSTITUTION_SIZE,P002001,P002002,P002003,P002004,P002005,P015001,P016001,P017001,P018001,P018002,P018005,P027001,P027002,P027024,P031001,P032001,P033001,H001001,H003001,H003002,H003003,H004001,H004002,H004003,P030001,P030002,P030003,P030004,P030005,P030006,P030007,P030008,P030009,P030010,P030011,P030012,P030013,P030014,P030015,P030016,P032002,P032003,P032004,P032005,P032006,P032007,P032008,P032009,P032010,P032011,P032012,P032013,P035001,P035002,P035003,P035004,P035005,P035006,P035007,P035008,P035009,P035010,P052001,P052002,P052003,P052004,P052005,P052006,P052007,P052008,P052009,P052010,P052011,P052012,P052013,P052014,P052015,P052016,P052017,P053001,P060001,P060002,P060003,P061001,P061002,P061003,P076001,P076002,P076003,P076004,P076005,P076006,P076007,P076008,P076009,P076010,P076011,P076012,P076013,P076014,P076015,P076016,P076017,P077001,P082001,H034001,H034002,H034003,H034004,H034005,H034006,H034007,H034008,H034009,H034010,H040001,H040002,H040003,H040004,H040005,H040006,H040007,H040008,H040009,H040010,H047001,H047002,H047003,H050001,H050002,H050003,H084001,H084002,H084003,H084004,H084005,H084006,H084007,H084008,H084009,H084010,H084011,H084012,H084013,H084014,H084015,H084016,H084017,H084018,H084019,H084020,H084021,H084022,H084023,H084024,H084025,NUM_BANK,NUM_BR,Longitude,Latitude,Column 172
Build,91509,Sterling,Loudoun,Virginia,12/12/2005,20166,11942,10000092,SMALL,4030,3818,3818,,,1534,4030,2.63,1534,344,1190,4030,4030,0,1021,3177,3.11,1621,1621,1534,87,1534,1144,390,2310,2125,1898,227,52,32,0,20,0,,0,6,11,6,11,99,1376,0,1376,399,0,399,261,0,261,175,52,123,2310,2125,1898,227,162,25,4,0,36,185,1487,23,12,16,38,28,97,68,110,53,87,283,367,157,58,54,36,67972,1487,140,1347,1487,429,1058,1017,10,6,16,49,34,69,45,74,32,52,187,266,95,42,40,0,65417,29716,1601,405,821,246,39,13,16,36,8,17,1507,1278,29,172,20,0,8,0,0,0,1601,1587,14,1601,1601,0,1079,0,0,10,0,12,0,0,0,0,0,0,0,15,174,134,362,196,72,90,9,0,5,0,0,4,6,-77.43442,39.004276,0.0025934414
Build,881535,Reston,Fairfax,Virginia,03/28/2005,20190,53378,10000014,LARGE,14258,14258,14258,,,6338,13733,2.17,6338,2371,3967,14258,13733,525,3326,9562,2.87,6729,6729,6338,391,6338,3276,3062,8281,7180,6386,794,453,241,0,194,9,,9,0,6,211,33,398,5038,46,4992,1538,64,1474,586,65,521,721,278,443,8281,7180,6386,794,655,83,49,0,7,1101,6294,302,208,247,209,236,284,317,207,288,434,809,1025,647,425,399,257,65994,6294,742,5552,6294,3539,2755,3348,120,70,106,101,167,118,148,156,127,176,389,546,383,284,254,203,74853,36710,6693,249,393,355,991,2757,1800,83,29,36,6290,4356,53,1808,39,0,0,0,34,0,6693,6648,45,6693,6597,96,3231,0,0,0,0,0,0,0,0,13,100,141,229,60,207,507,408,461,405,292,250,108,50,0,0,12,14,-77.3462,38.959673,0.0028328982
Build,217742,Williamsburg,Williamsburg,Virginia,02/14/2005,23188,17798,10000044,SMALL,23441,14971,14971,,,9107,22800,2.5,9107,1796,7311,23441,22800,641,6775,19446,2.87,9661,9661,9107,554,9107,6776,2331,11193,10388,9220,1168,70,54,0,0,0,,16,0,31,186,75,443,7796,34,7762,1549,17,1532,615,19,596,790,0,790,11193,10388,9220,1168,933,165,36,22,12,805,9016,482,395,475,277,367,443,511,510,551,873,1242,1433,708,326,257,166,55502,9016,1034,7982,9016,4533,4483,6810,190,190,239,137,214,252,405,401,405,697,1057,1265,630,316,257,155,63718,24857,9687,707,1658,1374,2747,1755,763,364,204,115,9148,3356,424,4355,878,0,85,0,15,35,9687,9680,7,9687,9667,20,6872,77,60,26,27,19,32,22,17,81,178,254,407,450,940,974,720,486,811,450,564,171,90,7,9,6,7,-76.75793,37.322936,0.0117534755
Build,424852,Richmond,Henrico,Virginia,12/22/2006,23230,61985,10000234,SMALL,6872,6872,6872,,,3196,6714,2.1,3196,1296,1900,6872,6714,158,1585,4563,2.88,3344,3344,3196,148,3196,1737,1459,3666,3250,2750,500,83,77,0,0,6,,0,0,13,134,39,147,2990,40,2950,404,15,389,29,7,22,96,21,75,3666,3250,2750,500,375,72,35,18,0,416,3191,171,229,312,373,272,190,196,205,152,228,372,256,95,64,25,51,36083,3191,244,2947,3191,1212,1979,1642,89,38,62,103,132,67,138,146,94,181,231,169,76,47,25,44,47736,21557,3366,16,50,127,111,199,707,1218,688,250,3221,2293,35,481,406,0,6,0,0,0,3366,3353,13,3366,3347,19,1713,0,0,0,0,0,0,0,6,41,106,260,369,157,285,271,99,29,44,19,23,4,0,0,0,8,11,-77.48831,37.580346,0.0126066359
Build,378428,Hampton,Hampton City,Virginia,03/31/2006,23666,908,10000157,SMALL,48680,48680,48680,,,19719,48118,2.44,19719,5523,14196,48680,48118,562,12950,38890,3,20583,20583,19719,864,19719,11638,8081,25021,23578,20651,2927,415,371,0,11,0,,22,62,77,350,180,359,18826,168,18658,3734,24,3710,1192,69,1123,910,154,756,25021,23578,20651,2927,2555,297,61,0,14,1443,19809,1205,1036,1093,1398,1746,1591,1153,1339,1362,2385,2201,2071,674,220,182,153,42263,19809,1449,18360,19809,6516,13293,13095,439,337,582,764,898,916,857,910,968,1779,1793,1786,574,189,177,126,49323,20000,20573,270,1741,2920,4892,2948,4250,2779,501,272,19687,10786,237,8145,422,0,64,7,12,14,20573,20539,34,20573,20504,69,11579,154,105,15,24,38,33,57,154,307,887,1410,1723,1719,2306,1335,873,175,121,97,24,9,0,0,13,8,11,-76.40711,37.050946,0.0163883488
Build,861031,Mechanicsvil,Hanover,Virginia,11/27/2007,23111,40512,10000424,SMALL,30764,24512,24512,,,11662,30603,2.62,11662,2257,9405,30764,30603,161,8939,26950,3.01,11958,11958,11662,296,11662,9661,2001,16112,15489,14172,1317,22,22,0,0,0,,0,38,0,67,134,362,10373,7,10366,4066,0,4066,634,0,634,677,15,662,16112,15489,14172,1317,1083,144,36,43,11,623,11615,357,365,308,621,615,670,672,821,547,1412,1924,1864,823,212,217,187,55425,11615,1219,10396,11615,4923,6692,8979,169,152,68,424,415,437,512,577,459,1187,1650,1706,672,205,205,141,60684,23993,11950,393,1824,1295,3175,2166,1714,805,284,294,11641,1238,288,7829,2149,0,78,7,0,52,11950,11926,24,11950,11928,22,9625,9,7,9,6,8,6,0,6,27,54,144,403,710,2789,2251,1328,749,482,351,180,61,13,17,15,11,18,-77.31536,37.605641,0.0182992513
Build,160002,Falls Church,Fairfax,Virginia,12/30/2005,22044,24250,10000100,LARGE,13109,13109,13109,,,5297,13053,2.46,5297,1726,3571,13109,13053,56,3118,9659,3.1,5566,5566,5297,269,5297,2367,2930,6825,5046,4011,1035,1179,557,12,576,8,,26,0,28,193,123,256,3238,209,3029,2107,436,1671,782,317,465,442,217,225,6825,5046,4011,1035,736,152,63,66,18,1779,5206,402,233,193,174,177,287,263,233,201,426,602,654,405,300,383,273,60143,5206,722,4484,5206,2401,2805,3043,188,120,143,122,124,136,133,107,104,216,269,375,330,194,303,179,64191,31987,5578,14,44,111,426,1276,1341,1678,557,131,5322,2807,70,2149,270,0,0,0,0,26,5578,5517,61,5578,5539,39,2366,0,19,0,0,0,0,15,41,66,123,72,158,76,57,50,54,74,402,380,433,178,92,65,11,4,4,-77.15328,38.859645,0.020309313
Build,120135,Columbia,Howard,Maryland,06/27/2005,21046,12812,10000029,SMALL,15074,15074,15074,,,5914,14970,2.53,5914,1454,4460,15074,14970,104,4001,12289,3.07,6066,6066,5914,152,5914,4118,1796,9089,8338,7650,688,323,153,0,86,69,,15,0,0,48,37,343,4767,23,4744,1925,51,1874,988,22,966,1066,227,839,9089,8338,7650,688,562,61,20,30,15,751,5913,145,87,62,80,131,224,188,152,280,698,1015,1202,641,425,372,211,73181,5913,713,5200,5913,2953,2960,4020,87,54,34,22,81,74,79,48,117,403,646,936,560,375,343,161,83169,33622,6066,369,274,535,3498,829,357,162,4,38,5914,1013,17,4569,295,0,0,0,0,20,6066,6057,9,6066,6032,34,4101,9,0,0,0,0,0,16,0,0,25,28,59,139,572,635,456,607,1083,329,105,34,4,0,0,4,4,-76.85319,39.175004,0.0236631774
Build,907021,Chesapeake,Chesapeake City,Virginia,06/21/2006,23320,975,10000162,SMALL,44439,43580,43580,,,17065,43566,2.55,17065,3964,13101,44439,43566,873,11983,36378,3.04,17718,17718,17065,653,17065,12016,5049,23340,22176,19949,2227,173,123,11,18,0,,21,8,36,298,209,440,16787,69,16718,4605,38,4567,711,26,685,797,40,757,23340,22176,19949,2227,1758,320,66,54,29,1164,17060,809,626,624,954,973,1024,1258,1312,975,1902,2538,2186,1057,325,250,247,49816,17060,1594,15466,17060,6187,10873,11951,328,193,363,561,629,578,831,819,646,1401,2065,1832,960,305,204,236,57182,22766,17718,563,2594,4242,5679,2146,1160,799,391,144,17095,6484,417,8972,1080,0,27,20,25,70,17718,17678,40,17718,17676,42,12021,213,141,65,7,23,26,27,96,213,802,913,966,1317,2146,1759,1402,645,548,455,138,95,16,0,8,14,20,-76.24511,36.761698,0.02493034
Build,538856,Norfolk,Norfolk City,Virginia,02/28/2005,23510,18614,10000011,SMALL,5191,5191,5191,,,1865,3663,1.96,1865,844,1021,5191,3663,1528,899,2526,2.81,1969,1969,1865,104,1865,367,1498,1478,1109,969,140,121,112,0,0,0,,9,0,5,189,5,49,1193,45,1148,166,63,103,27,5,22,43,8,35,1478,1109,969,140,105,20,0,6,9,369,1802,446,202,96,76,133,86,94,107,87,92,125,98,33,26,49,52,27500,1802,101,1701,1802,487,1315,841,261,139,55,27,63,41,12,11,20,23,53,45,18,17,16,40,17228,19377,1990,97,55,81,383,62,342,392,209,369,1872,675,32,825,97,0,0,0,123,120,1990,1977,13,1990,1968,22,355,0,0,0,0,0,0,0,0,0,6,0,24,9,32,23,33,34,63,56,51,24,0,0,0,9,10,-76.29028,36.852547,0.0265482543
